scraped_at_utc,source,bank,rate_category,loan_type,lock_in_years,benchmark,rate_as_of,year_1,year_2,year_3,year_4,year_5,year_6,note,property_type,source_url
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-03-18,1.0816,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-03-19,1.0794,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-03-20,1.0766,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-03-23,1.0758,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-03-24,1.0749,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-03-25,1.0743,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-03-26,1.0733,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-03-27,1.0715,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-03-30,1.0697,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-03-31,1.0708,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-04-01,1.0705,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-04-02,1.0683,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-04-06,1.0669,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-04-07,1.0671,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-04-08,1.0675,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-04-09,1.0675,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-04-10,1.06,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-04-13,1.06,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-04-14,1.0576,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-04-15,1.0516,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-04-16,1.0479,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-04-17,1.0399,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-04-20,1.04,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-04-21,1.0408,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-04-22,1.038,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-04-23,1.0335,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-04-24,1.0208,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-04-27,1.0201,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-04-28,1.0198,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-04-29,1.0182,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-04-30,1.0298,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-05-04,1.0356,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-05-05,1.0415,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-05-06,1.0463,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-05-07,1.0514,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-05-08,1.0709,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-05-11,1.0759,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-05-12,1.0774,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-05-13,1.0783,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-05-14,1.0807,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-05-15,1.0845,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-05-18,1.0851,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-05-19,1.0829,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-05-20,1.0808,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-05-21,1.0786,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-05-22,1.0731,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-05-25,1.0711,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-05-26,1.068,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-05-28,1.0645,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-05-29,1.0564,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-06-02,1.0549,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-06-03,1.0565,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-06-04,1.0579,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-06-05,1.0641,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-06-08,1.0676,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-06-09,1.0711,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-06-10,1.0739,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-06-11,1.0757,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-06-12,1.0851,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-06-15,1.0864,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-06-16,1.085,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-06-17,1.0836,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-06-18,1.0833,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-06-19,1.077,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-06-22,1.0753,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-06-23,1.0736,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-06-24,1.0727,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-06-25,1.0725,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-06-26,1.0806,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-06-29,1.0813,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-06-30,1.0825,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-07-01,1.0871,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-07-02,1.0911,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-07-03,1.1051,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-07-06,1.1091,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-07-07,1.1132,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-07-08,1.1153,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-07-09,1.1157,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-07-10,1.1238,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
2026-07-23T03:03:37+00:00,mas,MAS,benchmark,3M Compounded SORA,,3M Compounded SORA,2026-07-13,1.1251,,,,,,Add a package spread to get the all-in floating rate.,,https://eservices.mas.gov.sg/apimg-gw/server/monthly_statistical_bulletin_non610mssql/domestic_interest_rates_daily/views/domestic_interest_rates_daily
